freq,unit,icha11_hc,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR_HAB,TOT_HC,UK	: 	: 	3261.02 	3559.66 	4021.21 	3662.83 	3503.62 	3607.59 	3838.53 	: 	: 	: 
A,MIO_EUR,TOT_HC,AT	31093.91 	32499.92 	33316.59 	34540.89 	35692.35 	37020.51 	38354.63 	39871.46 	41650.95 	43383.05 	49127.65 	50813.65 p
A,MIO_EUR,TOT_HC,BA	: 	: 	1291.99 	1324.85 	1366.83 	1414.26 	1433.85 	1520.41 	1633.05 	1722.85 	1912.42 	: 
A,MIO_EUR,TOT_HC,BE	38962.97 	40556.25 	41553.39 	42755.00 	44993.13 	46421.46 	48058.99 	49968.34 	51672.02 	51489.23 	55492.94 	: 
A,MIO_EUR,TOT_HC,BG	2946.38 	3185.79 	3003.51 	3305.61 	3386.12 	3636.79 	3935.66 	4120.53 	4364.00 	5225.79 	6081.15 	: 
A,MIO_EUR,TOT_HC,CH	51815.78 	54172.73 	55189.36 	57146.99 	67425.41 	68332.19 	68013.48 	66174.47 	71298.85 	76130.96 	79866.78 b	: 
A,MIO_EUR,TOT_HC,CY	1277.15 	1274.30 	1249.79 	1211.80 	1219.10 	1264.90 	1345.07 	1479.54 	1637.70 	1840.84 	2264.62 	: 
A,MIO_EUR,TOT_HC,CZ	12486.02 	12396.45 	11993.62 	12014.13 	12494.71 	13211.26 	14328.40 	15760.51 	17154.21 	19883.63 	22606.99 	: 
A,MIO_EUR,TOT_HC,DE	290324.00 	297961.00 	309222.00 	322775.00 	338644.00 	352404.00 	370371.00 	386371.00 	406910.00 	432236.00 	465855.00 	489364.00 p
A,MIO_EUR,TOT_HC,DK	25796.94 	26786.62 	26725.94 	27397.37 	28241.26 	29023.33 	29770.48 	30528.07 	31424.46 	32922.76 	36446.54 	35715.15 p
A,MIO_EUR,TOT_HC,EA19	: 	: 	: 	1044186.92 	1076894.08 	1105297.33 	1141951.32 	1180271.59 	1228124.69 	1289068.74 p	1397392.08 p	: 
A,MIO_EUR,TOT_HC,EA20	: 	: 	: 	1047094.71 	1079921.87 	1108481.04 	1145279.07 	1183832.19 	1231909.70 	1292965.90 p	1402111.87 p	: 
A,MIO_EUR,TOT_HC,EE	1013.67 	1092.03 	1187.71 	1275.47 	1370.20 	1457.63 	1572.37 	1735.20 	1892.72 	2081.59 	2355.40 	2543.20 p
A,MIO_EUR,TOT_HC,EL	18690.74 	16811.38 	15178.58 	13986.42 	14497.60 	14742.57 	14391.37 	14580.52 	15031.34 	15719.58 	16664.99 	: 
A,MIO_EUR,TOT_HC,ES	97525.47 	94388.85 	92513.93 	93811.25 	98344.36 	99710.20 	103983.94 	108309.62 	113910.69 	120135.31 	129615.26 	: 
A,MIO_EUR,TOT_HC,EU27_2020	: 	: 	: 	1178592.49 	1216190.17 	1249342.69 	1293986.88 	1337562.96 	1392924.41 	1463427.72 p	1591899.68 p	: 
A,MIO_EUR,TOT_HC,FI	18261.42 	19271.00 	20034.38 	20236.91 	20388.59 b	20398.75 	20653.82 	21111.01 	21998.37 	22929.00 	25434.91 p	: 
A,MIO_EUR,TOT_HC,FR	230228.08 	235980.55 	241275.50 b	248069.39 	251680.32 	256268.03 	260844.82 	264879.05 	270305.93 	280282.08 	307803.90 	: 
A,MIO_EUR,TOT_HC,HR	: 	: 	2855.23 	2907.78 	3027.78 	3183.72 	3327.75 	3560.60 	3785.01 	3897.15 	4719.79 	: 
A,MIO_EUR,TOT_HC,HU	7642.30 	7428.99 	7396.44 	7488.05 	7730.72 	8123.68 	8566.38 	8952.28 	9206.08 	10057.80 	11367.56 	11472.31 p
A,MIO_EUR,TOT_HC,IE	18211.09 	18611.51 	18443.41 	18559.32 	19291.85 	20180.53 	21216.34 	22460.46 	23931.35 	26505.49 	28631.87 	30509.88 p
A,MIO_EUR,TOT_HC,IS	896.93 	939.19 	991.93 	1108.64 	1274.64 	1522.60 	1810.69 	1863.21 	1889.85 	1815.36 	2103.63 	: 
A,MIO_EUR,TOT_HC,IT	: 	142676.00 	141526.00 	144317.00 	146613.00 	147963.00 	150697.00 	153790.00 	155524.00 b	159880.00 	167761.00 	171867.00 p
A,MIO_EUR,TOT_HC,LI	: 	: 	276.68 	283.02 	324.90 	329.92 	325.71 	314.30 	332.63 	345.89 	363.14 	: 
A,MIO_EUR,TOT_HC,LT	2031.79 	2096.85 	2146.52 	2265.58 	2423.88 	2581.36 	2732.83 	2972.32 	3419.53 	3727.72 	4392.71 	: 
